1		Hypothesis A	Sentence A	Entity A	Hypothesis B	Sentence B	Entity B	Cooper	Maddie	Maui	Naz	Number of matching (ratio of num "M" / people)	Ratio (M/Total)	Subclasses	Linked	Not Matching	Opposites
23	158316	h1	Practice of a self-management approach may, in part, underlie subsequent reductions in pain intensity and interference in functioning.	pain	h1	Patients with spinal cord injury (SCI) reported 27% clinically meaningful decreases in daily pain.	pain	M	M	M	M	4	1	0	0	0	0
25	92192	h1	The significance of the pretreatment-to-4-week decrease in pain intensity (assessed with NRS) was F(1, 93) 8.89; p .006; 2 .115.	decrease in pain intensity	h1	Therapeutic alliance was significantly associated with pain intensity improvement.	pain intensity improvement	M	M	M	M	4	1	0	0	0	0
52	191076	h1	Longitudinal research these findings that once a person with spinal-cord injury (SCI) develops pain, a person with spinal-cord injury (SCI) rarely resolves pain.	pain	h1	Pre-treatment decrease in depressive symptoms was associated with the decrease in pain intensity.	pain	M	M	M	M	4	1	0	0	0	0
151	299696	h1	the two measures of treatment engagement at post-treatment were distinct measures of treatment engagement.	post-treatment	h1	Another treatment may not produce the final degree of posttreatment change until the final session.	posttreatment	M	M	M	M	4	1	0	0	0	0
154	238312	h1	Twenty-two studies assessed the effects at post-treatment on pain intensity.	post-treatment	h1	Patients who had received PCST reported a greater decrease in high pain days at posttreatment.	posttreatment	M	M	M	M	4	1	0	0	0	0
155	191693	h1	Longitudinal research these findings that once a person with spinal-cord injury (SCI) develops pain, a person with spinal-cord injury (SCI) rarely resolves pain.	spinal-cord injury	h1	Patients with spinal cord injury (SCI) reported 27% clinically meaningful decreases in daily pain.	spinal cord injury	M	M	M	M	4	1	0	0	0	0
212	259100	h2	A body image disruption can be associated with an incorrect pain rating.	pain rating	h2	Intramuscular injections of algesic substances result in greater pain ratings in men.	pain ratings	M	M	M	M	4	1	0	0	0	0
216	82985	h1	Thirty-seven adults had spinal-cord injury and chronic pain.	spinal-cord injury	h1	Participants were adults with chronic pain secondary to spinal cord injury (SCI).	spinal cord injury	M	M	M	M	4	1	0	0	0	0
227	257910	h2	A distorted body image could lead to an incorrect pain rating.	pain rating	h2	Intramuscular injections of algesic substances result in greater pain ratings in women.	pain ratings	M	M	M	M	4	1	0	0	0	0
241	185090	h1	This indicates that treatment groups had similar effects on pain interference changes.	pain	h1	The effect size for pain interference was less than small.	pain	M	M	M	M	4	1	0	0	0	0
243	152507	h2	Lower levels of habitual physical activity may represent an additional individual constraint in older adults.	physical activity	h2	physical activities can promote a gradual progress towards recovery.	physical activities	M	M	M	M	4	1	0	0	0	0
255	243610	h1	Therapeutic alliance was significantly associated with pain intensity improvement.	pain intensity improvement	h1	Our finding is that the BIO treatment condition may have resulted in greater pain reduction than the BIO treatment condition.	pain reduction	M	M	M	M	4	1	0	0	0	0
310	173757	h1	chronic neuropathic pain occurs after spinal cord injury.	spinal cord injury	h1	Longitudinal research these findings that once a person with spinal-cord injury (SCI) develops pain, a person with spinal-cord injury (SCI) rarely resolves pain.	spinal-cord injury	M	M	M	M	4	1	0	0	0	0
344	226870	h1	Yoga (Craner, Osadchuk, & Katz, 2011; Lazaridou et al., 2019) is a practice that can bring about significant changes in pain catastrophizing.	pain catastrophizing	h1	We hypothesized that the cognitively-focused CBT protocol would uniquely influence pain catastrophizing.	pain catastrophizing	M	M	M	M	4	1	0	0	0	0
363	238314	h1	Twenty-two studies assessed the effects at post-treatment on pain intensity.	post-treatment	h1	The aerobic exercise capacity did not show significant changes at the posttreatment assessment.	posttreatment	M	M	M	M	4	1	0	0	0	0
373	61553	h1	Feelings occur in situations in which patients had difficulty coping with pain.	pain	h1	Pain caused difficulty in performing daily activities.	Pain	M	M	M	M	4	1	0	0	0	0
915	299700	h1	the two measures of treatment engagement at post-treatment were distinct measures of treatment engagement.	post-treatment	h1	Patients who had received PCST reported a greater decrease in high pain days at posttreatment.	posttreatment	M	M	M	M	4	1	0	0	0	0
930	97910	h1	Pain caused difficulty in performing daily activities.	difficulty in performing daily activities	h1	Inactivity contributes to difficulty performing everyday activities for some people.	difficulty performing everyday activities	M	M	M	M	4	1	0	0	0	0
941	53258	h2	Fear instigates avoidance behavior.	Fear	h2	Patients fear harm during physical activities.	fear	M	M	M	M	4	1	0	0	0	0
974	158312	h1	Practice of a self-management approach may, in part, underlie subsequent reductions in pain intensity and interference in functioning.	pain	h1	Distress can make pain worse.	pain	M	M	M	M	4	1	0	0	0	0
11	199406	h2	Focusing on pain may act as a catalyst.	pain	h1	Interference is not affected by posttreatment changes in pain intensity.	pain	M	M	M	M	4	1	0	0	0	0
13	150665	h2	Lower levels of habitual physical activity may represent an additional individual constraint.	individual constraint	h2	These findings indicate that individual constraints reduce persistence.	individual constraints	M	M	M	M	4	1	0	0	0	0
15	238316	h1	Twenty-two studies assessed the effects at post-treatment on pain intensity.	post-treatment	h1	Patients who had received PCST/MT reported a greater increase in positive mood at posttreatment.	posttreatment	M	M	M	M	4	1	0	0	0	0
28	30114	h1	Pain may be caused or exacerbated by muscle tension.	Pain	h2	The studies provide support for the validity of the pain-related fear measures used.	pain	M	M	M	M	4	1	0	0	0	0
41	299702	h1	the two measures of treatment engagement at post-treatment were distinct measures of treatment engagement.	post-treatment	h1	The aerobic exercise capacity did not show significant changes at the posttreatment assessment.	posttreatment	M	M	M	M	4	1	0	0	0	0
63	299704	h1	the two measures of treatment engagement at post-treatment were distinct measures of treatment engagement.	post-treatment	h1	Patients who had received PCST/MT reported a greater increase in positive mood at posttreatment.	posttreatment	M	M	M	M	4	1	0	0	0	0
76	236429	h1	Hypnotizability showed a weak and nonsignificant association with pre- to posttreatment change in average daily pain intensity in the efficacy sample as a whole (r = .18, p = ns).	pain intensity	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain intensity	M	M	M	M	4	1	0	0	0	0
85	97561	h2	Those reporting high pain-intensity have difficulty in engaging in distraction tasks.	pain-intensity	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain intensity	M	M	M	M	4	1	0	0	0	0
91	240022	h1	The number of days of practice did not evidence a significant indirect effect on change in pain intensity.	pain intensity	h1	The expected pain level after intervention is 1.27.	pain level	M	M	M	M	4	1	0	0	0	0
94	83221	h1	Thirty-seven adults had spinal-cord injury and chronic pain.	spinal-cord injury	h1	Patients with spinal cord injury (SCI) reported 27% clinically meaningful decreases in daily pain.	spinal cord injury	M	M	M	M	4	1	0	0	0	0
140	235254	h2	It is unclear whether directed attention mediates the relationship between pain intensity and neuromuscular activation.	pain intensity	h1	The expected pain level after intervention is 1.27.	pain level	M	M	M	M	4	1	0	0	0	0
160	97544	h2	Those reporting high pain-intensity have difficulty in engaging in distraction tasks.	pain-intensity	h1	Hypnotizability showed a weak and nonsignificant association with pre- to posttreatment change in average daily pain intensity in the efficacy sample as a whole (r = .18, p = ns).	pain intensity	M	M	M	M	4	1	0	0	0	0
177	201822	h2	Only those who reported low pain showed changes in temporal activation profiles.	pain	h1	Relationship problems can make pain worse.	pain	M	M	M	M	4	1	0	0	0	0
200	243608	h1	Therapeutic alliance was significantly associated with pain intensity improvement.	pain intensity improvement	h2	The relation between distraction and pain reduction is not simplistic.	pain reduction	M	M	M	M	4	1	0	0	0	0
401	241214	h1	Within a given treatment epoch, reductions in precontemplation attitudes were associated with improvements in pain intensity.	pain intensity	h1	The expected pain level after intervention is 1.27.	pain level	M	M	M	M	4	1	0	0	0	0
929	259102	h2	A body image disruption can be associated with an incorrect pain rating.	pain rating	h2	Intramuscular injections of algesic substances result in greater pain ratings in women.	pain ratings	M	M	M	M	4	1	0	0	0	0
59	136402	h2	Studies have shown a correlation between cLBP and impaired postural control.	impaired postural control	h2	Our findings suggest that postural control is impaired in individuals with cLBP.	postural control	M	M	S	M	3	0.75	1	0	0	0
61	24963	h2	Fall injuries are a consequence of leisure-time physical activity in middle-aged adults.	physical activity	h2	physical activities can promote a gradual progress towards recovery.	physical activities	M	M	NM	M	3	0.75	0	0	1	0
116	102427	h1	Exercise may reduce disability in osteoarthritis patients.	Exercise	h1	The aerobic exercise capacity did not show significant changes at the posttreatment assessment.	aerobic exercise	M	M	S	M	3	0.75	1	0	0	0
192	195822	h1	The changes in pain interference scores were predicted.	pain	h2	Focusing on pain may act as a catalyst.	pain	NM	M	M	M	3	0.75	0	0	1	0
205	197026	h1	The effect size for pain interference was less than small.	pain	h2	There is no significant relation between pain-related fear.	pain	NM	M	M	M	3	0.75	0	0	1	0
249	243612	h1	Therapeutic alliance was significantly associated with pain intensity improvement.	pain intensity improvement	h1	Participants in the self-hypnosis condition were asked to report the number of hours pain relief usually lasted after Participants in the self-hypnosis condition listened to an audio recording of one of Participants in the self-hypnosis condition's sessions.	pain relief	M	M	L	M	3	0.75	0	1	0	0
269	109378	h1	People who receive no treatment for People who receive no treatment for their pain's pain probably experience more pain and distress compared to people treated with CBT.	pain	h1	This indicates that treatment groups had similar effects on pain interference changes.	pain	NM	M	M	M	3	0.75	0	0	1	0
298	109414	h1	People who receive no treatment for People who receive no treatment for their pain's pain probably experience more pain and distress compared to people treated with CBT.	pain	h2	There is no significant relation between pain-related fear.	pain	NM	M	M	M	3	0.75	0	0	1	0
313	294419	h1	The sheer number of skills that patients are expected to acquire may contribute to patient dropout and poor adherence.	dropout	h1	Attrition rates were higher than expected, which undermines power.	Attrition	L	M	M	M	3	0.75	0	1	0	0
331	195910	h1	The changes in pain interference scores were predicted.	pain	h1	the secondary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	M	M	NM	M	3	0.75	0	0	1	0
910	134013	h1	Those in the SC condition reported a greater decrease in high pain days at follow-up.	high pain	h1	Patients who had received PCST reported a greater decrease in high pain days at posttreatment.	high pain day	M	M	NM	M	3	0.75	0	0	1	0
944	263876	h1	Our finding is that the BIO treatment condition may have resulted in greater pain reduction than the BIO treatment condition.	pain reduction	h1	Participants in the self-hypnosis condition were asked to report the number of hours pain relief usually lasted after Participants in the self-hypnosis condition listened to an audio recording of one of Participants in the self-hypnosis condition's sessions.	pain relief	M	M	L	M	3	0.75	0	1	0	0
106	213788	h1	The primary focus of this study is on pain interference.	pain	h1	the primary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	M	M	NM	M	3	0.75	0	0	1	0
206	349844	h1	Age did not significantly change prior to treatment.	treatment	h1	Additionally, future research may identify patient characteristics that predict better compatibility with specific treatment approaches.	treatment approaches	M	M	M	L	3	0.75	0	1	0	0
231	185186	h1	This indicates that treatment groups had similar effects on pain interference changes.	pain	h1	Change in depressive symptoms had a direct effect on change in pain interference.	pain interference	M	M	NM	M	3	0.75	0	0	1	0
938	246578	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain intensity	h1	The expected pain level after intervention is 1.27.	pain level	M	NM	M	M	3	0.75	0	0	1	0
132	193468	h1	The purpose was to predict 4-week- to-posttreatment changes in pain interference change scores.	pain	h1	information tailored to the participants' particular medical condition was based on what is known about pain in LBP.	pain	L	NM	M	M	2	0.5	0	1	1	0
50	182323	h1	Cognitive changes may beget outcome improvements.	Cognitive changes	h2	There were significant correlations between cognitive improvements and reduction of pain sensation.	cognitive improvements	S	M	M	S	2	0.5	2	0	0	0
74	152491	h2	Lower levels of habitual physical activity may represent an additional individual constraint in older adults.	physical activity	h1	The aerobic exercise capacity did not show significant changes at the posttreatment assessment.	aerobic exercise	M	L	S	M	2	0.5	1	1	0	0
97	62821	h1	Behavioral therapy patients showed significant improvement on the Sickness Impact Profile.	Behavioral therapy	h1	cognitive behavioral therapy causes improvement.	cognitive behavioral therapy	M	M	NM	S	2	0.5	1	0	1	0
148	59459	h2	The finding was that the expected pain increase was a significant predictor of poor behavioral performance.	pain	h1	two groups: one receiving MBSR and the other receiving a multidisciplinary intervention showed improvements in perceptions of pain intensity and pain-related distress.	pain	NM	NM	M	M	2	0.5	0	0	2	0
215	21542	h1	Dropouts happen, and it is unknown how many are due to dissatisfaction or unrecorded worse pain.	Dropout	h1	Perhaps this was because patients who were experiencing lower levels of depression had higher rates of attrition.	attrition	L	M	NM	M	2	0.5	0	1	1	0
235	3589	h2	Chronic back pain patients are systematically exposed to a series of physical activities.	Chronic back pain	h1	Discriminating behaviors are caused by chronic low back pain.	chronic low back pain	M	M	L	S	2	0.5	1	1	0	0
283	98696	h1	Pain caused difficulty in performing daily activities.	Pain	h1	Pre-treatment decrease in depressive symptoms was associated with the decrease in pain intensity.	pain	NM	NM	M	M	2	0.5	0	0	2	0
288	160678	h1	The 9-item subscale measures the degree to which pain interferes with various aspects of life.	pain	h1	The majority of pain treatments available to persons with spinal-cord injury (SCI) have been shown to benefit only a subset of patients.	pain	NM	NM	M	M	2	0.5	0	0	2	0
302	212580	h1	Pre-treatment decrease in depressive symptoms was associated with the decrease in pain intensity.	pain	h1	Within a given treatment epoch, reductions in precontemplation attitudes were associated with improvements in pain intensity.	pain intensity	M	NM	NM	M	2	0.5	0	0	2	0
309	127213	h2	the unique contribution of pain-related fear predicts poor behavioral performance.	pain	h1	Practice of a self-management approach may, in part, underlie subsequent reductions in pain intensity and interference in functioning.	pain	NM	NM	M	M	2	0.5	0	0	2	0
353	98652	h1	Pain caused difficulty in performing daily activities.	Pain	h2	The highest correlations were found among pain-related fear measures.	pain	NM	NM	M	M	2	0.5	0	0	2	0
383	24044	h2	Fall injuries are a consequence of leisure-time physical activity in middle-aged adults.	Fall injuries	h2	Leisure-time physical activity is a factor that affects falls and fall injuries in middle-aged adults.	falls and fall injuries	M	M	NM	L	2	0.5	0	1	1	0
920	19064	h1	Eleven treatment completers showed a decrease of 25-49% on BPI-intensity.	treatment	h1	Additionally, future research may identify patient characteristics that predict better compatibility with specific treatment approaches.	treatment approaches	L	M	M	NM	2	0.5	0	1	1	0
943	36537	h2	Sensorimotor deficits may result from normal aging.	normal aging	h2	Physiologic complexity can vary with aging and disease.	aging	M	M	S	NM	2	0.5	1	0	1	0
955	115225	h2	Relative changes in stride length incur nearly the same energetic cost penalty.	stride length	h2	Small changes in average stride time have a similar effect on energy cost in humans.	stride time	L	M	L	L	1	0.25	0	3	0	0
8	234025	h1	Only baseline pain interference had a significant effect on the change in pain catastrophizing.	pain catastrophizing	h1	Only baseline pain interference had a significant effect on the change in pain catastrophizing.	pain interference	NM	M	NM	NM	1	0.25	0	0	3	0
12	235250	h2	It is unclear whether directed attention mediates the relationship between pain intensity and neuromuscular activation.	pain intensity	h1	Change in depressive symptoms had a direct effect on change in pain interference.	pain interference	NM	NM	NM	M	1	0.25	0	0	3	0
17	230450	h1	Change in mindful observing was significantly associated with change in pain catastrophizing in this research.	pain catastrophizing	h2	It is unclear whether directed attention mediates the relationship between pain intensity and neuromuscular activation.	pain intensity	NM	M	NM	NM	1	0.25	0	0	3	0
20	251960	h1	the secondary hypothesis compared the effects of hypnosis and biofeedback on pain interference.	pain interference	h1	The discussion in phase 1 focused on the dysfunctional character of longstanding pain symptoms and pain-related behaviors.	pain symptoms	NM	L	NM	M	1	0.25	0	1	2	0
21	210807	h1	Participants were encouraged to understand how cognitive factors shape pain.	cognitive factors	h1	Change in cognitive process was not associated with change in pain interference across any treatment condition.	cognitive process	S	S	M	L	1	0.25	2	1	0	0
27	160669	h1	The 9-item subscale measures the degree to which pain interferes with various aspects of life.	pain	h2	The patients in a group of patients avoid physical activities and fear pain/(re)injury.	injury	NM	M	NM	NM	1	0.25	0	0	3	0
35	94002	h1	Baseline pain intensity did not have a significant effect on the change in depressive symptoms during the trial.	Baseline pain intensity	h1	The expected pain level after intervention is 1.27.	pain level	M	NM	NM	S	1	0.25	1	0	2	0
39	191146	h1	Longitudinal research these findings that once a person with spinal-cord injury (SCI) develops pain, a person with spinal-cord injury (SCI) rarely resolves pain.	pain	h1	Change in depressive symptoms had a direct effect on change in pain interference.	pain interference	S	M	NM	L	1	0.25	1	1	1	0
53	237626	h1	Twenty-two studies assessed the effects at post-treatment on pain intensity.	pain intensity	h1	Change in cognitive process was not associated with change in pain interference across any treatment condition.	pain interference	NM	NM	NM	M	1	0.25	0	0	3	0
54	139905	h1	The rate of symptom improvement may differ.	improvement	h2	The relation between distraction and pain reduction is not simplistic.	distraction	NM	M	NM	NM	1	0.25	0	0	3	0
58	130814	h2	Chronic pain may contribute to elevated healthcare costs.	Chronic pain	h1	chronic neuropathic pain occurs after spinal cord injury.	neuropathic pain	M	NM	L	S	1	0.25	1	1	1	0
69	155968	h1	How much did pain interfere?	pain	h1	The comparison in Figure 3 is about the maintenance of treatment effects on pain intensity, pain interference, and sleep quality over 6 months.	pain interference	NM	NM	NM	M	1	0.25	0	0	3	0
71	5086	h1	Chronic pain is a growing problem.	Chronic pain	h1	A substantial proportion of patients with spinal-cord injury (SCI) experience severe, ongoing pain.	pain	S	M	S	S	1	0.25	3	0	0	0
78	236444	h1	Hypnotizability showed a weak and nonsignificant association with pre- to posttreatment change in average daily pain intensity in the efficacy sample as a whole (r = .18, p = ns).	pain intensity	h1	The hypnosis protocol used in this study did not have substantial effects on pain interference.	pain interference	NM	M	NM	NM	1	0.25	0	0	3	0
